cityId,plaka,sehir,slug,ilk_sayfa_etkinlik,hasMore
3,6,Ankara,ankara,20,True
4,48,Muğla,mugla,20,True
5,34,İstanbul Avrupa,istanbul-avrupa,20,True
6,67,Zonguldak,zonguldak,5,False
8,31,Hatay,hatay,17,False
9,27,Gaziantep,gaziantep,20,True
10,21,Diyarbakır,diyarbakir,9,False
11,16,Bursa,bursa,20,True
12,1,Adana,adana,20,True
13,42,Konya,konya,20,True
14,20,Denizli,denizli,20,False
15,44,Malatya,malatya,15,False
16,61,Trabzon,trabzon,3,False
18,50,Nevşehir,nevsehir,11,False
19,26,Eskişehir,eskisehir,20,True
20,41,Kocaeli,kocaeli,20,True
21,77,Yalova,yalova,7,False
23,7,Antalya,antalya,20,True
24,35,İzmir,izmir,20,True
25,10,Balıkesir,balikesir,20,True
26,71,Kırıkkale,kirikkale,0,False
28,32,Isparta,isparta,20,False
29,9,Aydın,aydin,20,True
30,39,Kırklareli,kirklareli,0,False
31,81,Düzce,duzce,1,False
32,53,Rize,rize,0,False
33,23,Elazığ,elazig,20,True
34,29,Gümüşhane,gumushane,0,False
35,74,Bartın,bartin,5,False
36,14,Bolu,bolu,16,False
38,43,Kütahya,kutahya,12,False
39,54,Sakarya,sakarya,20,True
41,37,Kastamonu,kastamonu,3,False
42,24,Erzincan,erzincan,5,False
43,55,Samsun,samsun,20,True
45,70,Karaman,karaman,1,False
48,52,Ordu,ordu,19,False
49,80,Osmaniye,osmaniye,3,False
53,22,Edirne,edirne,9,False
55,0,Kıbrıs,kibris,0,False
68,64,Uşak,usak,0,False
69,45,Manisa,manisa,18,False
73,58,Sivas,sivas,16,False
74,19,Çorum,corum,17,False
75,5,Amasya,amasya,6,False
76,3,Afyon,afyon,3,False
77,34,İstanbul Anadolu,istanbul-anadolu,20,True
78,17,Çanakkale,canakkale,4,False
79,18,Çankırı,cankiri,0,False
80,8,Artvin,artvin,0,False
81,15,Burdur,burdur,5,False
82,51,Niğde,nigde,3,False
83,38,Kayseri,kayseri,20,True
84,59,Tekirdağ,tekirdag,5,False
85,33,Mersin,mersin,20,True
86,11,Bilecik,bilecik,0,False
87,68,Aksaray,aksaray,7,False
88,28,Giresun,giresun,0,False
89,46,Kahramanmaraş,k-maras,1,False
90,25,Erzurum,erzurum,3,False
91,78,Karabük,karabuk,3,False
92,57,Sinop,sinop,16,False
94,56,Siirt,siirt,1,False
95,72,Batman,batman,9,False
96,2,Adıyaman,adiyaman,5,False
97,4,Ağrı,agri,0,False
98,12,Bingöl,bingol,0,False
99,13,Bitlis,bitlis,0,False
100,30,Hakkari,hakkari,0,False
101,36,Kars,kars,1,False
102,40,Kırşehir,kirsehir,1,False
103,47,Mardin,mardin,7,False
104,49,Muş,mus,1,False
106,60,Tokat,tokat,10,False
107,62,Tunceli,tunceli,0,False
108,63,Şanlıurfa,sanliurfa,19,False
109,65,Van,van,15,False
110,66,Yozgat,yozgat,1,False
111,69,Bayburt,bayburt,1,False
112,73,Şırnak,sirnak,3,False
113,75,Ardahan,ardahan,0,False
114,76,Iğdır,igdir,0,False
115,79,Kilis,kilis,1,False
147,34,İstanbul (Tümü),istanbul,20,True
